Ms ID,Gender,Geno,D.O.B,Ear,Mom,Dad,Cage,User,Date
FA030,F,+/-: fl/fl,6/25/2021,LL,FA007,F443,EB21,10/14 out of RAB5,kill
A0143,F,+/-:Tie2 fl/fl,8/5/2021,NH,1883,1706,FA04,kill,EAB2
FA052,F,+/-: fl/fl,8/5/2021,R,FA002,F471,FA04,breeding,FAB1
FA053,F,+/-: fl/fl,8/5/2021,LR,FA002,F471,FA04,breeding,FAB1
FA079,F,+/-: fl/fl,9/3/2021,L,F553,FA025,FA04,breeding,FAB3
FA080,F,+/-: fl/fl,9/10/2021,NH,F552,FA015,FA05,,FAB4
FA081,F,+/-: fl/fl,9/10/2021,L,F552,FA015,FA05,,FAB4
FA082,F,+/-: fl/fl,9/10/2021,R,F552,FA015,FA05,,FAB4
FA088,F,,10/6/2021,LR,F554,FA018,FA05,Genotype,FAB5
FA089,F,,10/6/2021,LL,F554,FA018,FA05,Genotype,FAB5
A0176,M,+/+,9/9/2021,NH,A0021,A0007,J18,17-05 CL,A0179
A0179,M,-/-,9/9/2021,LR,A0021,A0007,J18,17-05 CL,A0176
A0212,M,+/-,2/1/2022,,A0156,A0147,A02,,
A0213,M,+/-,2/1/2022,,A0156,A0147,A02,,
A0214,M,+/-,2/1/2022,,A0156,A0147,A02,,
A0215,M,-/-,2/1/2022,,A0156,A0147,A02,,
A0216,F,-/-,2/1/2022,,A0156,A0147,A08,,
A0217,F,+/-,2/1/2022,,A0156,A0147,A08,,
A0218,F,+/+,2/1/2022,,A0156,A0147,A08,,
A0219,F,+/-,2/1/2022,,A0156,A0147,A08,,
A0220,M,+/-,2/9/2022,,A0151,A0148,,,
A0221,M,-/-,2/9/2022,,A0151,A0148,,,
A0222,M,+/-,2/9/2022,,A0151,A0148,,,
A0223,F,-/-,2/9/2022,,A0151,A0148,,,
A0224,F,+/-,2/9/2022,,A0151,A0148,,,
A0225,F,+/+,2/9/2022,,A0151,A0148,,,
